링크,최종선택여부,Unnamed: 2,Unnamed: 3,Unnamed: 4,미선택0,선택1,크롤링된_제목,크롤링된_본문
https://n.news.naver.com/article/023/0003936265,0.0,,,,,,,
,1.0,,,,,,"삼양그룹 창립 101주년…김윤 ""도전·혁신 나서야""","삼양그룹이 창립 101주년을 맞아 지난 24일 경기 과천 서울대공원 산림욕장에서 임직원 200여 명이 참석한 가운데 ‘퍼포즈 워크 10.1’ 행사를 열었다고 26일 밝혔다. 퍼포즈 워크 10.1은 ‘101주년’을 상징하는 10.1㎞를 트레킹하는 일정으로, 직원들이 그룹의 기업 소명을 함께 공유하고 체험하는 취지로 마련됐다.김윤 삼양홀딩스 회장(사진)은 행사에서 “글로벌과 스페셜티 사업 중심으로 포트폴리오를 전환해 제품 차별화를 이루고, 반도체·배터리·퍼스널케어·친환경 소재 분야에서 구체적인 목표를 세워 실행력을 높여야 한다”고 말했다.김 회장은 그러면서 “운전자본 최적화와 수익성 강화로 안정적인 성장을 뒷받침하고, 디지털 전환(DX)을 넘어 인공지능(AI) 트랜스포메이션으로 발전시켜야 한다”며 “관행에서 벗어나 도전하고 혁신하는 문화가 필요하다”고 강조했다.트레킹 전에는 삼양의 핵심 가치와 주요 연혁을 정리한 ‘삼양 가치 전시월’에서 임직원들이 기업 철학을 되돌아보는 시간도 가졌다."
,1.0,,,,,,"김윤 삼양 회장 ""고부가사업 중심 제품차별화 추진""","창립 101주년 임직원 트레킹""변화와 혁신으로 성공 만들자""김윤 삼양홀딩스 회장은 26일 창립기념사를 통해 ""글로벌과 스페셜티(고기능성·고부가가치 소재) 사업 중심으로 포트폴리오를 전환해 제품 차별화를 도모하고 글로벌 시장에서의 경쟁력을 키워야 한다""며 ""특히 반도체, 배터리 등 그룹 미래를 책임질 스페셜티 사업은 구체적인 마일스톤(단계별 성과 지표)을 수립해 실행력을 높여달라""고 주문했다.김 회장은 또 ""관행에서 벗어나 새로운 것을 시도하는 게 쉽지 않겠지만 실패를 두려워하지 않는 도전정신을 발휘해 변화하고 혁신하는 삼양을 만들어 나가자""며 ""끊임없는 변화와 혁신으로 새로운 100년의 성공스토리를 만들어가자""고 덧붙였다.김 회장은 삼양그룹 창립 101주년을 맞아 지난 24일 경기 과천 서울대공원 산림욕장에서 임직원 참여 트레킹 행사 '퍼포즈 워크 10.1'을 개최했으며 10.1㎞트레킹 행사에 200여 명이 참여했다.[정지성 기자]"
,1.0,,,,,,"'실적 경고등' 주류업계, 해외서 돌파구 찾는다","하이트진로·롯데칠성·오비맥주3분기 매출·영업이익 감소 전망과일소주 등 수출 확대에 사활국내 술 소비가 지속해서 감소하면서 3분기 주류업계 실적 전망에 ‘빨간불’이 켜졌다. 주류 회사들은 해외 시장 공략과 원재료 수입처 다변화를 위기 돌파구로 삼고 있다.26일 금융정보업체 에프앤가이드에 따르면 하이트진로의 지난 3분기 영업이익 추정치는 전년 동기 대비 8.9% 줄어든 639억원으로 집계됐다. 롯데칠성음료의 주류 부문은 영업이익이 전년 대비 7% 감소해 93억원 수준에 그칠 것으로 전망됐다. 비상장기업인 오비맥주 역시 2분기에 이어 매출 감소가 예상된다.정부가 내수 진작을 위해 소비쿠폰을 대대적으로 발급했지만 주류 소비는 이렇다 할 혜택을 보지 못했다. 국내 주류 소비가 좀처럼 살아나지 않자 업체들은 해외 시장을 공략하는 데 집중하고 있다. 하이트진로와 롯데칠성의 올 상반기 소주 수출 합산금액은 993억원이다. 작년 상반기(962억원)보다 3.2% 늘었다. 비슷한 성장세가 이어진다고 보면 두 회사의 올해 말 기준 소주 수출 금액은 2300억원에 육박할 것으로 전망된다.특히 과일소주가 수출 성장세를 이끌고 있다. 하이트진로의 과일소주 수출은 2021년 600억원에서 작년 884억원으로 늘었다. 롯데칠성도 같은 기간 과일소주 수출이 155억원에서 250억원으로 뛰었다. 과일소주 수출만 4년간 50.1% 증가했다.오비맥주도 최근 수출 전용 소주 브랜드 ‘건배짠’을 수출하며 해외 시장 개척에 나섰다. 건배짠의 1차 수출 대상 국가는 말레이시아, 싱가포르, 대만, 캐나다 등 4개국으로 과일소주 5종이 주력이다.일부 업체는 가격이 싼 중국산 원재료 수입 비중을 늘려 수익성을 방어하고 있다. 한국무역협회에 따르면 올 상반기 기준 중국산 맥아 수입은 1만127t으로 전년 대비 63.3% 늘었다. 맥아는 맥주 제조에 필수적인 원재료다. 중국산 맥아는 국내 수입량 1위인 호주산 맥아보다 가격이 20~30%가량 저렴하다."
,1.0,,,,,,"환율·채권, 관세협상 안갯속…원화 약세 이어지나",지난주 원·달러 환율(24일 야간 거래 기준)은 전주 대비 17원20전 오른 1439원40전에 마감했다. 23일엔 장중 한때 1441원50전까지 뛰며 6개월 만에 최고치를 갈아치웠다. 이런 원화 약세는 달러 강세 영향에서 비롯됐다. 달러 대비 원화 가치는 지난달 말부터 이달 24일까지 2.39% 떨어졌다. 다만 같은 기간 달러인덱스(주요 6개 통화 대비 달러 가치) 상승폭(1.31%)을 고려할 때 상대적으로 원화 약세폭이 컸다.외환시장은 한·미 관세 협상 장기화가 환율에 영향을 미쳤다고 보고 있다. 한·미 양국은 오는 31일 개막하는 아시아태평양경제협력체(APEC) 정상회의를 계기로 관세 협상 타결을 추진하고 있다. 현재까지는 3500억달러 규모의 대미 투자펀드에서 지분투자 비중과 분할 시점을 놓고 이견을 좁히지 못해 협상 타결이 불확실하다는 평가가 많다. 이재명 대통령도 최근 외신 인터뷰에서 “관세 협상은 시간이 조금 더 걸릴 것 같다”며 신중한 태도를 보였다.관세 협상이 장기화하면 원화 가치 약세가 이어질 것이라는 관측이 나온다. 이진경 신한투자증권 연구원은 “그간 대미 투자 협상이 난항을 겪으면서 원화가 약세를 보였다”며 “대미 투자에 따라 중장기 외화 유동성 부담이 커지면 원화가 안정세를 찾기 어려울 수 있다”고 분석했다.국내 채권시장은 지난주 오름세를 보였다. 24일 서울 채권시장에서 3년 만기 국고채 금리는 전주(연 2.555%) 대비 0.036%포인트 상승한 연 2.591%로 마감했다. 한국은행이 23일 금융통화위원회에서 기준금리를 연 2.50%로 동결한 영향으로 여겨졌다. 한은의 기준금리 추가 인하 시점 전망에 따라 채권시장이 추가로 영향받을 가능성이 크다. 임재균 KB증권 연구원은 “이창용 한은 총재가 추가 인하 가능성을 열어둔 만큼 내년 상반기 기준금리를 추가로 인하할 가능성이 크다”고 전망했다.
,1.0,,,,,,기업 평가서 도요타 추월했지만…숙제 남은 현대차,"현장에서美 타임 '세계 최고 기업' 33위정의선 5년 실적·조직문화 개선""다양성 강화·주주가치 더 높여야""신정은 산업부 기자“우울하기만 한 한국 기업계에 ‘단비’ 같은 소식입니다.” 미국 시사전문지 타임이 선정한 ‘2025 세계 최고 기업’에서 국내 기업 중 유일하게 현대자동차가 100위 안에 들었다는 소식을 읽은 한 기업인의 말이다. 현대차는 이 순위에서 글로벌 1위 완성차 업체인 도요타(48위)를 제치고 33위에 올랐다.타임의 세계 최고 기업 평가엔 매출과 이익, 기업문화 등이 모두 고려된다. 현대차는 전기차 캐즘(일시적 수요 둔화)에도 2022년부터 매년 최대 매출과 영업이익 기록을 갈아치우고 있다. 지난해 매출은 175조원, 영업이익은 14조2000억원에 달한다. 전기차 도전을 계속하면서도 독자적인 기술로 하이브리드카를 만들어 시장을 공략한 성과다. 세계 최고 수준의 수소차 양산 기술도 보유하고 있다.과거 ‘군대와 비슷하다’는 평가를 받은 조직문화도 빠르게 바꿔 나갔다. 비대면 보고, 복장 자율화, 자유좌석제 등을 도입하면서 밖에서 보는 현대차 직원의 이미지도 변했다. 이런 결과들이 맞물리면서 현대차 직원의 자발적 이직률은 0.39%에 불과하다. 국내 기업 최저 수준이다. 한국 주요 대기업 중 처음으로 최고경영자(CEO)로 ‘갈색 눈’의 전문경영인을 파격적으로 인선하기도 했다.하지만 현대차 임직원 사이에서는 아직 만족할 수는 없다는 분위기가 팽배하다. 현대차 조직문화는 글로벌 기업과 비교하면 경직돼 있고 다양성이 부족하다는 지적도 여전하다. 현대차 여성 임원 비중은 지난해 기준 7.9%로 폭스바겐(19.9%)에 비해 여전히 낮다. 주주가치도 높여야 한다. 현대차 시가총액(51조7013억원)은 두산에너빌리티에도 뒤진다. 지난해 179만 대를 팔아 현대차(414만 대)의 절반에도 못 미치는 테슬라(시총 약 2071조원) 주식 2.5%를 팔면 현대차 주식을 이론상으론 모두 살 수 있다.비야디(BYD) 등 중국 전기차 추격에도 달아나며 차세대 모빌리티를 선점해야 하는 숙제도 남아 있다. 지난 14일 취임 5주년을 맞은 정의선 현대차그룹 회장이 최근 임원 회의에서 “방심하지 말아야 한다”고 강조한 이유다. 단비 같은 소식에 안주하지 말고 현대차에 자극제가 돼 글로벌 1위 완성차 회사가 되길 기대한다."
,1.0,,,,,,이달에만 원화 가치 2.4% 떨어져...엔화 이어 주요국 통화 중 하락 폭 2위,"한미 관세 협상이 장기화하는 가운데 달러 대비 원화 가치가 이달 들어 2% 넘게 추락했다. 다카이치 사나에 일본 총리가 취임하며 대규모 돈 풀기 기대가 커진 일본 엔화(-3.12%)에 이어 주요국 중 하락 폭이 둘째다.26일 서울 외환시장에 따르면, 달러 대비 원화 환율은 지난 24일 전장 대비 0.2원 내린 1439.4원으로 야간 거래를 마쳤다. 지난 23일에는 장중 1441.5원까지 뛰면서 지난 4월 29일(장중 1441.5원) 이후 약 6개월 만에 최고치를 기록했다.달러 대비 원화 가치는 24일 야간 거래 종가를 기준으로 지난달 말 대비 2.39% 하락했다(원화 환율 상승). 같은 기간 주요 6국 통화 대비 달러 가치가 1.31% 상승했는데, 원화 가치는 그보다 더 크게 떨어졌다.주요 6국 대비 달러 가치를 나타내는 달러인덱스를 구성하는 통화 중 유로(-1.12%), 영국 파운드(-0.86%), 캐나다 달러(-0.75%)는 원화보다 가치 하락 폭이 작았다. 스위스 프랑(+0.10%), 스웨덴 크로나(+0.16%)는 달러 대비 강세였다. 원화보다 가치가 더 떨어진 통화는 일본 엔화(-3.12%)뿐이었다.호주 달러(-1.50%), 대만 달러(-1.11%) 등 다른 아시아 통화도 원화보다는 강했으며, 중국 역외 위안화(+0.44%)는 달러 대비 가치가 상승했다.한미 관세 협상에서 3500억달러 대미 투자 펀드를 둘러싼 불확실성, 다카이치 총리가 취임하며 일본 엔화가 약세를 나타낸 것 등이 원화 약세 압력으로 작용하고 있다는 분석이다. 이창용 한국은행 총재는 23일 기자간담회에서 “원·달러 환율이 한 달 새 35원 정도 올랐는데, 4분의 1은 달러 강세, 4분의 3은 미·중 갈등으로 인한 위안화 약화, 일본의 아베노믹스 계승 기대에 따른 엔화 약세, 우리나라 대미 투자 협상 등 지역적 요인이었다”고 말했다."
,1.0,,,,,,[단독] '악재가 한꺼번에'…車 부품사 줄도산 '공포',"관세·인건비 '줄폭탄'무너지는 車 생태계100대 부품 상장사 실적 '뚝'車산업 위기 현실로2분기 영업이익 10% 줄었지만3분기부터 실적 악화 본격화관세협상 난관에 車업계 '패닉'파워트레인, 섀시를 제작해 현대자동차와 기아는 물론 미국 제너럴모터스(GM), 포드 등에 납품하는 A사의 올해 2분기 영업이익(19억원)은 전년 동기(53억원)보다 64.2% 급감했다. 미국 정부가 5월부터 부과하기 시작한 자동차 부품 관세(25%)로 50억원의 추가 비용이 생긴 영향이다. 3분기에는 석 달 내내 관세를 낸 만큼 적자로 돌아섰을 것으로 추정된다.미국의 관세 폭탄이 국내 자동차산업을 적자 수렁으로 내몬 것으로 확인됐다. 국내총생산(GDP) 기여도가 14%에 달하고, 전체 고용의 7%를 맡고 있는 자동차 생태계가 흔들리면 한국 경제 전반에 심각한 충격을 줄 것이라는 우려가 나온다.26일 한국자동차산업협동조합이 현대모비스를 제외한 100대 상장 자동차 부품사를 전수조사한 결과, 올 2분기 합산 영업이익은 1조494억원으로 전년 동기(1조1687억원) 대비 10.2% 감소했다. 특히 1차 협력사(9.2%)보다 2차 협력사(23.7%)의 감소폭이 두 배 이상 컸다. 3분기부터는 관세 영향이 온전히 실적에 반영되는 데다 관세 인상 전 선(先)수출 효과도 없는 만큼 실적 하락폭은 훨씬 큰 것으로 알려졌다.업계 관계자는 “관세에 더해 통상임금 확대 적용 등 인건비 부담도 수익성 악화에 영향을 미쳤다”며 “현대차그룹 상황이 향후 더욱 어려워지면 부품사 수익성은 더 떨어질 것”이라고 했다. 현대차그룹은 미국 시장 점유율을 지키기 위해 차값을 올리지 않기로 하면서 올해만 관세 부담금 8조원을 온전히 떠안았다.강남훈 한국자동차모빌리티협회 회장은 “31일 개막하는 경주 아시아태평양경제협력체(APEC) 정상회의 전 타결될 것으로 기대한 관세협상이 늦어지면서 자동차업계에 고난의 시기가 더 길어지고 있다”며 “자동차 생태계가 무너지면 철강, 기계, 석유화학 등으로 불똥이 튈 수 있는 만큼 정부가 세제 혜택 등 각종 지원에 나서야 한다”고 말했다.""악재 한꺼번에 덮쳐""…車 부품사 한달 만에 41곳 사라졌다관세·인건비 줄폭탄…부품사 2분기 영업익 10% 감소전북 김제에 있는 자동차 알루미늄 휠 제조사 알룩스가 법정관리(기업회생절차)를 신청한 건 지난 5월이다. 미국이 그달 25% 자동차 부품 관세를 매긴 만큼 관세 영향을 받기 전에 미리 두 손을 든 것이다. 발목을 잡은 건 급격하게 늘어난 인건비 등 각종 비용이다.현대자동차와 기아의 1차 협력사인 이 회사는 지난해 매출(630억원)이 10년 전(292억원)보다 두 배로 늘었을 정도로 빠르게 성장했지만, 작년에만 제조원가가 전년보다 15.5%(65억원) 높아지면서 영업이익이 51억원에서 3억원으로 곤두박질쳤다. 연 5~7% 금리로 끌어온 단기차입금 235억원의 이자를 대느라 지난해 53억원 순손실을 냈다. 미국 관세로 앞으로도 수익을 내기 힘들다고 판단해 고심 끝에 법정관리를 선택했다. 업계 관계자는 “관세 여파로 현금이 말라버린 ‘껍데기 부품사’가 빠르게 늘고 있다”고 했다.◇“관세 내면 적자 전환”국내 자동차산업 생태계가 몸살을 앓게 된 1차적인 이유는 미국의 관세 부과다. 작년 미국 자동차 부품 수출액이 82억2200만달러(약 11조7000억원)인 만큼 여기에 관세 25%를 적용하면 부품업계가 내야 할 연간 관세 비용이 20억5550만달러(약 2조9000억원)에 이른다는 계산이 나온다.경기 안산에서 엔진 점화 부품을 제작하는 A사는 관세 탓에 적자 가능성이 높아졌다. 이 회사는 매출의 25%에 이르는 약 600억원어치 부품을 미국에 수출한다. 여기에 붙는 관세 150억원은 지난해 영업이익(140억원)보다 많다. 도어트림을 만드는 B부품사 대표는 “관세 여파로 미국 수출을 줄이면 매출이 감소해 수익성은 더 나빠진다”며 “해외 완성차 업체는 원자재값 상승분을 납품가에 반영해주는 ‘납품대금 연동제’ 적용 대상이 아닌 만큼 원자재값이 뛰면 휘청일 수밖에 없다”고 하소연했다.미국에서 연간 자동차 170만 대를 파는 현대차·기아도 수입차 관세로 받는 타격이 크다. 미국 현지 생산 비중이 40%에 그쳐 더 그렇다. 나이스신용평가는 관세율 25%가 유지되면 현대차그룹의 관세 부담은 글로벌 완성차 회사 중 가장 큰 연 8조원에 이를 것으로 예상했다.◇도산 위기 커지는 2·3차 협력업체최근 몇 년 새 급격하게 늘어난 인건비도 자동차업계의 경쟁력을 떨어뜨리고 있다. 한국자동차연구원에 따르면 지난해 국내 중소 부품사(매출 1800억원 미만 상장사 94곳)의 평균 영업이익률은 2.2%다. 지난해 1월 납품대금 연동제가 도입됐지만 인건비 부담은 여기에 해당하지 않는다.매출 1900억원 규모의 머플러 제조업체 C사가 대표적이다. 이 회사는 노조 요구로 임금을 큰 폭으로 올린 데다 대법원의 통상임금 확대 적용 판결로 인건비가 작년보다 10% 늘었다. C사 대표는 “인건비를 포함한 고정비가 총비용의 30%에 달한다”며 “관세에 인건비 부담까지 고려하면 언제까지 사업을 해야 할지 모르겠다”고 했다.미국이 지난 14일부터 해외에서 건조한 자동차 운반선(PCTC)에 t당 46달러의 입항 수수료를 부과하고 있는 것도 국내 자동차업계의 부담을 키우는 요소다. 자동차업계에선 해운업체가 언젠가 입항 수수료 분담을 요청할 것으로 걱정하고 있다.영세한 2·3차 업체는 줄도산 위기에 내몰렸다. 정동만 국민의힘 의원이 중소벤처기업부로부터 제출받은 자료에 따르면 8월 기준 국내 중소 자동차 부품사는 전달 대비 41곳 줄었다. 지난해 기준 국내 자동차 부품업체 1만6807곳 가운데 1차 협력사는 468개(2.8%)에 불과했다. 나머지는 2차(3244곳)와 3차 협력사(53.9%)다. 67.4%가 직원 9인 미만인 영세 업체다.업계 관계자는 “관세협상이 길어지면 상당수 2·3차 협력업체가 폐업을 고민할 것”이라며 “고용과 국내총생산(GDP) 기여도가 큰 자동차산업이 무너지면 한국 경제도 붕괴하는 만큼 보조금 지원, 세제 혜택 등 특단의 지원책이 필요하다”고 했다."
,1.0,,,,,,파운드리·HBM 잇단 낭보…이재용 '뉴 삼성' 질주 채비,"27일 李회장 '조용한 3주년'테슬라 차세대 AI칩 수주엔비디아 12단 품질 시험 통과빅테크와 협업으로 존재감 굳건내달 조직개편·사장단 인사'뉴 삼성' 방향성 드러날 듯“안타깝게도 지난 몇 년간 우리(삼성)는 앞으로 나아가지 못했다.”2022년 10월 25일 이재용 당시 삼성전자 부회장이 이건희 선대회장 2주기 사장단 간담회에서 내린 진단이다. 파운드리(반도체 수탁생산) 대형 고객 이탈, 고대역폭메모리(HBM) 납품 지연 등의 여파로 고개를 든 ‘위기설’에 대해선 “새로운 분야를 선도하지 못했고, 기존 시장에서는 거센 도전을 받고 있다”고 반성했다. 이틀 뒤 이 부회장은 회장 자리에 올랐다. 삼성전자 이사회는 승진안을 의결하며 “책임경영 강화, 경영 안정성 제고, 신속·과감한 의사결정이 절실하다”고 밝혔다.◇사그라든 삼성 위기론27일로 이 회장이 취임 3주년을 맞는다. 지난 3년간 근원 경쟁력 회복을 통해 위기의 삼성을 추스르는 데 주력한 결과 위기론의 진원지인 파운드리와 HBM 부문에서 성과가 나오고 있다. 이 회장이 신사업으로 꼽고 육성 중인 파운드리에선 테슬라의 차세대 인공지능(AI)칩을 수주했다. 글로벌 네트워크를 갖춘 이 회장이 일론 머스크 테슬라 최고경영자(CEO)를 만나 담판 지은 결과다. 이 회장은 올해 들어 반도체를 담당하는 디바이스솔루션(DS)부문 경영진에 “TSMC 추격이라는 구호를 외치지 말고, 진짜 실력을 갖추라”고 주문했다.HBM과 관련해서는 지난달 ‘큰손’ 고객인 엔비디아의 HBM3E(5세대 HBM) 12단 품질 테스트를 통과했다. HBM4(6세대 HBM) 개발·납품 경쟁에서도 1위 회사인 SK하이닉스와 대등한 레이스를 벌일 수 있게 됐다. AI 서버용 주문이 늘고 있는 최신 그래픽D램(GDDR7)과 저전력 D램 모듈(SOCAMM2)에선 가장 앞서 있다는 평가를 받는다.완제품을 담당하는 디바이스경험(DX)부문에서는 ‘AI 적용 하드웨어’로 애플을 압도하고 있다. 산업 구조적인 성장 둔화를 맞닥뜨린 TV와 가전에서도 경쟁력 회복을 위한 담금질을 시작했다.◇색깔 나오는 JY 리더십이 회장은 지난 2월 경영권 승계 관련 2심 무죄 판결을 기점으로 자신만의 리더십을 강화하고 있다. 3월 삼성 계열사 임원 2000여 명에게 ‘삼성다움’ 교육을 시행하고 ‘위기에 강하고 역전에 능하며 승부에 독한 삼성인’이란 문구가 새겨진 크리스털 패를 전달한 게 대표적인 예다. 당시 이 회장은 교육 영상에서 “인류의 미래를 근본적으로 바꿀 기술혁신이 지속되고 있고, 국가 총력전의 양상이 펼쳐지고 있다”며 “이전과는 차원이 다른 죽느냐 사느냐 하는 생존의 문제”라고 했다. ‘사즉생’의 각오를 주문하며 자신이 구심점이 되겠다는 다짐으로 삼성 안팎에선 해석한다.지난 14일엔 향후 3년간 주가 상승폭에 따라 직원에게 최대 1억원 상당 자사주를 지급하는 ‘성과 기반 주식 보상(PSU)’ 제도를 시행하며 조직문화 재정립에도 주력하고 있다. ‘성과에 따른 보상’이란 삼성의 인사철학에 미국 실리콘밸리 문화를 접목한 것으로 분석된다.◇사장단 인사에서 뉴 삼성 밑그림과제도 적지 않다. 반도체 사업의 완전한 회복과 AI, 로봇 등 미래 사업의 확실한 안착이 첫 번째로 꼽힌다. 예전만 못한 직원들 로열티와 사기를 끌어올려야 하는 숙제도 있다.삼성은 이 회장 취임 3주년과 관련해 특별 행사나 메시지는 따로 준비하지 않은 것으로 알려졌다. ‘성과로 리더십을 입증하겠다’는 평소 이 회장의 지론에 따른 것으로 전해졌다. 이 회장은 이달 말 경북 경주에서 열리는 아시아태평양경제협력체(APEC) 정상회의와 APEC CEO 서밋 준비에 주력하고 있다. 젠슨 황 엔비디아 CEO 등과의 회동이 예정돼 있다.APEC 이후엔 다음달 하순으로 예상되는 조직개편 및 정기 사장단 인사를 통해 이 회장이 그리는 ‘뉴 삼성’의 방향성이 드러날 전망이다. 지난해 인사에서 탄생한 삼성글로벌리서치 경영진단실을 잇는 컨트롤타워 조직이 탄생할지 관심이 쏠린다."
,1.0,,,,,,'항암제 내성'과 싸우는 글로벌 바이오테크,"美 분자 표적 및 암치료 학회ADC부터 KRAS·PROTAC까지약물 내성 극복한 혁신신약 경쟁최신 신약 임상결과도 대거 공개한미, 유전자치료 항암제 첫선“내성이라는 항암치료의 벽을 넘기 위해서는 혁신적인 임상시험이 필요합니다.”지난 22일부터 26일까지 미국 보스턴에서 미국암연구학회(AACR) 등 주최로 열린 ‘분자 표적 및 암치료 학회’의 첫 본 세션에서 연사로 나선 앤드루 아기레 다나파버암연구소 교수는 이같이 말했다. 세계 항암 전문가 2000여 명이 모인 이번 학회에는 항암제 내성 등 첨단 신약이 직면한 한계를 넘기 위한 실험적인 연구 결과가 쏟아졌다. 최신 치료법의 초기 임상 결과도 대거 공개됐다.◇차세대 ADC 개발 경쟁23일 학회 핵심 주제를 다루는 ‘플래너리 세션’ 첫 순서를 차지한 것은 면역항암제도 항체약물접합체(ADC)도 아닌 KRAS 억제제였다. KRAS는 암세포 성장을 촉진하는 대표적인 발암 유전자다. 한때 ‘불가능의 타깃’으로 불렸는데 미국 식품의약국(FDA)이 2021년 KRAS를 타깃 하는 소토라십(제품명 루마크라스)과 2022년 아다그라십(크라자티)을 승인하면서 KRAS 억제제 시대가 열렸다. 이들 의약품은 KRAS가 신호를 전달하는 경로를 차단하지만 세포가 대체 경로를 만들기 때문에 내성 발생이 잦았다. 이번 학회에서 레볼루션메디신이 개발 중인 KRAS 억제제 신약 다락손라십은 대체 경로를 차단하도록 설계돼 주목받았다. 데이비드 홍 미 MD앤더슨암센터 교수는 “미국에서만 50개 이상 차세대 KRAS 억제제가 임상 또는 임상 진입 대기 단계에 올라와 있다”며 “이제 얼마나 내성을 늦추고 면역 반응을 끌어올릴 수 있는가가 경쟁의 기준이 되고 있다”고 평가했다.24일 ADC를 주제로 한 세션에서 숀 오언 유타대 약대 교수는 “ADC가 좋은 성적을 거두고 있다”면서도 “단일 페이로드만으론 화학항암제처럼 내성 문제가 발생하는 등 한계가 있다”고 지적했다. ADC는 독성이 강한 화학항암제(페이로드)에 암세포 단백질(항원)을 추적하는 항체를 결합해 정확하게 암세포만 공격하는 ‘유도탄 항암제’다. 오언 교수는 “동물실험 결과 서로 다른 기전으로 암세포를 공격하는 페이로드 두 개를 결합하면 약효가 강화되고 내성도 최소화되는 것으로 확인됐다”고 말했다.화학항암제 대신 표적항암제를 페이로드로 활용한 ADC의 초기 임상 데이터도 처음 공개됐다. 중국 신약개발사 애들라이 노티는 CEACAM5 단백질을 표적으로 하는 ADC에 KRAS 억제제를 페이로드로 장착한 전임상 결과를 발표해 안전성과 효능을 모두 입증했다. CEACAM5는 국내 리가켐바이오가 개발 중인 전임상 단계 ADC의 표적이기도 해 글로벌 경쟁 구도에도 관심이 쏠리고 있다.◇새로운 형태 항암제 공개 잇달아암 발생의 주요 원인으로 꼽히는 p53 유전자 변이를 표적으로 한 다양한 접근법도 공개됐다. 나스닥 상장사 아프레아테라퓨틱스가 임상 1/2상을 진행 중인 레자타팝트는 돌연변이 때문에 뒤틀린 p53 단백질을 원상 복귀시켜주는 항암 후보물질이다. 이상 단백질을 ‘재활성’하는 기전 약물의 첫 임상 사례로, 희소 난소암 환자 103명을 대상으로 한 임상에서 객관적반응률(ORR) 34%를 달성했다.국내 제약사 한미약품은 망가진 p53을 고쳐 쓰는 대신 정상 p53 단백질 설계도를 넣어주는 유전자치료제 기반 항암 신약을 24일 처음 공개했다. 설계정보가 담긴 메신저RNA(mRNA)를 지질나노입자에 담았다. 세포에 들어가 정상 p53 단백질을 만들면 암세포가 무한증식하지 못하고 사멸하는 것을 세포실험 등을 통해 확인했다.한미약품의 첫 표적단백질저해제(PROTAC)도 이번 학회에서 공개됐다. 핵 속에 있는 EP300이라는 단백질을 분해하는 약물로 세포 및 동물실험에서 효능과 안전성을 확인했다. 임상에 들어간 경쟁 약물이 없어 퍼스트 인 클래스의 가능성이 열려 있다. 정승현 한미약품 표적항암팀 이사는 “내년에 전임상에 진입할 것”이라고 말했다.PROTAC는 세계적으로 개발 경쟁이 치열해지면서 이번 학회의 ‘숨은 주인공’으로 평가받았다. 선두 주자 미국 아비나스테라퓨틱스는 전임상에서 시장에 나온 KRAS 억제제 대비 우수한 효능을 확인한 KRAS PROTAC(ARV-806)의 전임상 결과를 발표했다.보스턴=이우상 기자 idol@hankyung.com"
