신문사,제목,본문_요약,링크,카테고리,예측점수,최종선택여부
매일경제,환율 비상 대형마트 … 수입산 비축 나섰다,"수입 식재료 원가 부담 커져1년치 장기계약으로 대응산지 다변화·대체품 발굴도장기화땐 가격 인상 불가피최근 원·달러 환율 급등으로 수입 식재료·원자재 비용이 크게 늘어날 것으로 전망되면서 식품·패션 등 유통기업 전반에 비상이 걸렸다. 환율 상승이 생산비용과 최종 소비자가격 부담을 높일 수 있어, 수입 농축산물 의존도가 높은 대형마트는 물론 원자재·원단을 해외에 의존하는 패션기업, 수입 원자재를 사용하는 식품기업까지 가격 방어에 사활을 걸고 있다. 내수 침체로 수요가 약화된 상황에서 고환율로 가격 상승까지 이어질 경우 소비 위축이 더욱 심화될 수 있다는 위기감이 번지고 있다. 대형마트는 물량 비축과 산지 다변화 전략을 강화하고 있으며, 식품·패션업계는 원가 조정 협상, 공급망 재편 등 환율 리스크 완화에 총력을...",https://n.news.naver.com/article/newspaper/009/0005597408?date=20251128,업계,0.956233008,
조선일보,"AI칩 엔비디아 독점 깨진다… 구글·MS·메타 참전, 춘추전국시대로","[흔들리는 엔비디아 패권] GPU에 맞선 가성비 칩 속속 개발‘PC시대의 윈도처럼 AI(인공지능) 시대를 이끄는 OS(운영체제).’엔비디아의 GPU(그래픽 처리 장치)를 규정하는 문장이다. 수많은 데이터를 동시에 처리하는 GPU는 AI 시대 필수 제품이 됐고, GPU를 시장에 먼저 내놓은 엔비디아는 AI 최강자로 등극했다. GPU 기반 AI 칩 시장에서 엔비디아의 점유율은 90%에 달한다. GPU 하나당 가격이 3만~4만달러(약 4000만~5000만원)에 이를 정도로 비싸고, 돈이 있어도 GPU를 구하기 어려운 상황이다. 덕분에 엔비디아는 세계에서 가장 비싼 기업이 됐다.하지만 최근 주요 빅테크들이 맞춤형 칩(ASIC)을 자체 개발하거나 반도체 공급처를 다변화하면서 엔비디아 AI 제국의 위상이 흔들리는 조짐...",https://n.news.naver.com/article/newspaper/023/0003943690?date=20251128,경영,0.944264339,
동아일보,"LG, ‘양대산맥’ 수장 교체 승부수… 전자 류재철-화학 김동춘",전자 조주완-화학 신학철 용퇴B2B분야 은석현-이재성 사장 승진문혁수 LG이노텍 대표도 사장으로LG그룹이 그룹 양대 축인 LG전자와 LG화학의 리더십을 교체하며 대대적인 쇄신에 나섰다. 글로벌 업황 침체와 지정학적 불확실성 확대로 주요 계열사 사업들이 정체되자 안정보다는 변화와 혁신에 무게를 둔 인사에 나선 것으로 풀이된다. 또 주요 계열사의 임원 승진자도 크게 줄어들었다.LG그룹은 27일 이 같은 내용의 2026년도 임원 인사 및 조직 개편을 실시했다. LG전자는 신임 최고경영자(CEO)에 류재철 HS(가전솔루션)사업본부장 사장(58)을 선임했다. 2021년 말 조주완 CEO 선임 후 4년 만의 리더십 교체다. LG화학도 2018년 신학철 CEO(부회장) 선임 후 7년 만에 김동춘 부사장(57)을 사장으로...,https://n.news.naver.com/article/newspaper/020/0003677808?date=20251128,업계,0.88264798,1
한국경제,"구광모 ""안정보다 쇄신""…기술통 전진 배치로 'ABC' 드라이브","LG, 전자·화학 사령탑 교체전자 CEO 류재철·화학 김동춘성과주의·기술인재 중시 인사LG그룹이 27일 정기 임원 인사를 통해 핵심 계열사인 LG전자와 LG화학 최고경영자(CEO)를 교체했다. 갈수록 심해지는 중국의 저가 공세와 미국의 보호무역 강화 등에 맞서 핵심사업 경쟁력을 빠르게 끌어올리기 위한 구광모 LG그룹 회장의 의지가 반영된 인사로 풀이된다.LG그룹 각 계열사는 이날 이사회 승인을 거쳐 정기 인사 및 조직 개편을 실시했다. LG전자는 신임 CEO로 생활가전(HS)사업본부장을 맡고 있는 류재철 사장을, LG화학은 첨단소재사업본부장을 지낸 김동춘 부사장을 사장으로 승진 내정했다. 신학철 LG화학 부회장과 조주완 LG전자 사장은 세대교체를 위해 물러났다. LG그룹은 신규 임원 인사에서도 연령, 성별과...",https://n.news.naver.com/article/newspaper/015/0005217199?date=20251128,업계,0.8434574,1
한국경제,삼성 '메모리 개발 담당' 조직신설…D램·낸드·솔루션·패키징 전부 총괄,"반도체 DS부문 조직 개편새 사령탑엔 황상준 부사장HBM팀은 D램개발실 산하로패키징 인력 각 사업부로 배치""차세대 제품 위해 유기적 협력""삼성전자 반도체 사업을 담당하는 디바이스솔루션(DS)부문이 D램과 낸드플래시에 이어 솔루션, 패키징까지 모두 총괄하는 ‘메모리 개발 담당’ 조직을 신설했다.27일 반도체업계에 따르면 삼성전자는 이날 임원 대상으로 설명회를 열고 이 같은 내용의 조직개편을 발표했다. 메모리 개발 담당 조직은 기존 메모리 사업부 산하 D램개발실에 플래시 개발, 솔루션, 패키징 기능을 더해 확대 개편한 것이다.조직은 D램개발실을 이끌어 온 황상준 부사장(사진)이 맡는다. D램과 고대역폭메모리(HBM) 개발을 진두지휘한 황 부사장은 D램개발실장도 겸임한다. 황 부사장은 D램을 포함한 전체 메모리 ...",https://n.news.naver.com/article/newspaper/015/0005217231?date=20251128,업계,0.79190314,1
조선일보,"LG, 전자·화학 CEO 깜짝 교체, 50대 기술통 발탁","LG그룹이 27일 양대 주력 계열사인 LG전자와 LG화학의 최고경영자(CEO)를 동시에 교체했다. LG전자는 약 4년, LG화학은 약 7년 만에 수장이 바뀐 것이다. 임원 승진자도 98명에 그쳤다. 2023년(139명), 2024년(121명)에 이어 허리띠를 더욱 졸라맨 것으로 2년 새 승진자가 30% 가까이 줄었다.당초 그룹 안팎에선 주요 사업을 담당해 온 연륜 있는 CEO들의 부회장 승진 가능성을 점쳤다. 하지만 구광모 LG 회장은 그룹 핵심 사업의 전면에 50대 기술통들을 배치했다. 미래 사업 속도를 높이겠다는 의지가 반영된 것으로 풀이된다.깜짝 ‘세대 교체’LG전자는 신임 대표이사에 류재철(58) HS사업본부장(사장)을 선임했다. 1989년 금성사에 입사한 류 신임 대표는 36년 재직 기간의 절반가량...",https://n.news.naver.com/article/newspaper/023/0003943597?date=20251128,업계,0.775682009,
한국경제,'화이트 바이오 강자'…CJ제일제당의 변신,"생분해성 소재 글로벌 상용화땅에 묻으면 분해되는 PHACJ제일제당, 국내 유일 생산빨대·잔디 충전재까지 용처 확대유한킴벌리, 생분해 행주 출시폴바셋은 PHA 빨대 도입키로땅에 묻거나 물에 담그면 자연적으로 분해되는 바이오 소재 플라스틱 시장이 급성장하고 있다. 음료 빨대와 주방 행주는 물론 축구장 인조 잔디까지 활용처가 늘어나면서다.27일 업계에 따르면 유한킴벌리는 조만간 생분해성 바이오 소재 폴리하이드록시알카노에이트(PHA)를 이용해 세계에서 처음으로 ‘크리넥스 빨아 쓰는 생분해 위생 행주’를 출시한다. PHA는 미생물이 식물을 먹고 자연적으로 만들어내는 고분자 물질이다. 플라스틱과 비슷한 재질이지만 화학 물질이 아니라 미생물이 만든 물질이어서 공장과 가정의 퇴비화 시설은 물론 토양, 바다에서 모두 분해된...",https://n.news.naver.com/article/newspaper/015/0005217183?date=20251128,업계,0.750726282,
한국경제,[차장 칼럼] 車 관세 타결 이후가 더 중요하다,"김재후 산업부 차장2020년 한 해 동안 1만7000대에 못 미쳤던 제네시스 미국 판매량은 이듬해 5만 대 수준으로 급증했다. G70, G80 등 세단만 있던 제네시스 라인업에 GV80, GV70 등 스포츠유틸리티차량(SUV)이 추가된 덕분이었다. 현대자동차가 프리미엄 브랜드 제네시스를 미국에 선보인 게 2016년이다. 그렇게 제네시스는 글로벌 럭셔리 브랜드들이 각축전을 벌이는 미국 고급차 시장에 단 5년 만에 안착했다.11월부터 관세 15%로 내려가한·미 양국이 관세협상을 마무리하고, 한국 자동차업계가 가슴을 졸이며 기다린 관련 법이 지난 26일 국회에서 발의됐다. 김병기 더불어민주당 원내대표가 ‘한·미 전략적 투자 관리를 위한 특별법’을 낸 것이다. 3500억달러(약 510조원) 규모의 대미 투자를 이행...",https://n.news.naver.com/article/newspaper/015/0005217285?date=20251128,경영,0.681493048,
한국경제,"""저는 의사 안 할건데요""…요즘 10대들 꽂혔다는 '직업'","고교생 ""의사보다 이공계 연구원 희망""2025년 초·중등 진로 교육 현황 조사바이오·반도체 뜨자연구원 선호도 상승의대정원 원점회귀의사 희망 순위 '뚝'글로벌 기술 경쟁 격화로 이공계 인재의 중요성이 커지면서 학생들의 연구원 선호도가 높아지는 것으로 나타났다. 의사 선호도는 다소 주춤해졌다.교육부와 한국직업능력연구원은 지난 5월 16일부터 6월 13일까지 초·중·고교 1200곳의 학생, 학부모, 교원 3만7408명을 온라인으로 조사한 ‘2025년 초·중등 진로 교육 현황조사’를 27일 발표했다.고교생 희망 직업은 교사(7.6%)가 순위가 가장 높았고 간호사(5.0%), 생명과학자 및 연구원(3.7%), 보건·의료 분야 기술직(2.9%), 경찰관 수사관(2.6%)이 그 뒤를 이었다. 올해 눈에 띄는 변화는 이공...",https://n.news.naver.com/article/newspaper/015/0005217168?date=20251128,업계,0.601024231,
한국경제,"""전력소모 최대 96% 절감 가능""…삼성, 낸드반도체 기술 원리 규명","상용화 땐 스마트폰 사용시간 쑥'전기먹는 하마' AI데이터센터운영 비용도 대폭 절감 기대삼성전자가 기존 낸드플래시 대비 전력 소모를 96% 절감할 수 있는 기술 원리를 세계 최초로 찾아냈다. 이 기술이 상용화되면 스마트폰 노트북 등 모바일 기기의 배터리 사용 시간을 늘리고, 인공지능(AI) 데이터센터는 전력을 덜 소모해 운영 비용을 크게 절감할 수 있다.삼성전자는 자사 뉴스룸을 통해 SAIT(옛 삼성종합기술원)와 반도체연구소 소속 연구진 34명이 공동 저자로 참여한 ‘저전력 낸드플래시 메모리용 강유전체 트랜지스터’ 논문이 세계적 학술지 ‘네이처’ 12월호(11일 발간)에 게재된다고 27일 발표했다.전원이 꺼져도 정보가 유지되는 비휘발성 메모리 반도체인 낸드플래시는 저장 용량을 늘리려면 읽기·쓰기 전력 소모가...",https://n.news.naver.com/article/newspaper/015/0005217132?date=20251128,업계,0.600558168,
