신문사,제목,본문_요약,링크,카테고리,예측점수,최종선택여부
중앙일보,[박수련의 시시각각] 비만치료제가 뒤흔든 시장,"인공지능(AI)이 인간의 지성에 무한 확장을 추구하는 기술이라면, 비만치료제는 인간에게 자기 몸에 대한 통제권을 부여한다는 점에서 AI보다 상품성이 더 강력하다. 물리세계의 생활습관이 밴 육신은 아무리 성능 좋은 AI로도 어찌할 수 없는데 위고비나 젭바운드, 마운자로 같은 GLP-1 계열의 비만치료제는 체중을 약물로 최적화할 수 있는 길을 텄다. 사람이 음식을 먹을 때 분비되는 천연 호르몬(GLP-1)을 모방한 이들 치료제는 인간의 뇌를 속여 식욕을 억제하는 데 성공한 약리학과 바이오공학의 성취다.급성장하는 비만치료제 시장‘코스닥 1위’ 삼천당의 폭락금감원 특사경 실력 시험대국내에선 비급여 의약품이라 4주 투여에 30만~65만원이 든다. 부담이 적지 않은데도 비만치료제 처방은 급증하고 있다. 2024년 말 ...",https://n.news.naver.com/article/newspaper/025/0003515267?date=20260410,업계,0.9354614074018007,
조선일보,"한미반도체, 연내 ‘2세대 하이브리드 본더’ 출시","“차세대 HBM 양산에 맞춰 공급”한미반도체가 차세대 고대역폭 메모리(HBM) 생산에 필요한 ‘2세대 하이브리드 본더’를 연내 출시한다.한미반도체는 2세대 하이브리드 본더 시제품을 연내 출시하고 고객사와 협업에 나선다고 9일 밝혔다. 한미반도체는 2020년 1세대 HBM 생산용 하이브리드 본더를 출시했지만, HBM 양산 단계에서 사용되지는 않았다. 2세대 장비는 개발 경험과 기술을 집약해 정밀도, 공정 안정성, 수율 등을 끌어올렸다는 설명이다. 한미반도체는 하이브리드 본딩 관련, 국내 여러 반도체 장비 기업과 플라즈마, 클리닝, 증착 기술에서 협력하고 있다.HBM은 D램을 여러 층 쌓아 데이터 처리 속도를 대폭 높인 메모리 반도체다. HBM의 성능을 높이려면 D램을 더 높이 쌓아야 한다. 현재 HBM을 만드...",https://n.news.naver.com/article/newspaper/023/0003969938?date=20260410,경영,0.8884794309742183,
매일경제,"오너 3세들, 바이오 열공…대기업 진출 러시","오너일가가 직접 챙기며 '그룹 미래먹거리'로 부상""신약 직접 개발은 오래 걸려유망한 바이오벤처 찾아라""M&A·지분 투자에 관심 많아제약바이오 업계도 예의주시국내 대기업들이 속속 바이오산업으로 영토를 넓히고 있다. 2000년대 초반 삼성과 LG, 코오롱을 필두로 '1차 바이오 투자 붐'이 불었고, 2010년 초반과 2020년 초반에도 주요 기업들이 앞다퉈 진출했다. '4차 러시'로 볼 법한 최근에는 인수·합병(M&A)을 앞세워 속도전을 벌이는 양상이다.젊은 오너 3·4세들이 미래 먹거리로 바이오를 점찍고 사업을 주도하는 것도 특징이다. 과거에는 신약 개발 인프라스트럭처 구축과 생산시설 확보 등 대규모 투자가 주였다면, 지금은 신약 파이프라인 인수와 기술 플랫폼 확보 등으로 전략이 고도화되고 있다.9일 업계에 ...",https://n.news.naver.com/article/newspaper/009/0005663743?date=20260410,업계,0.8883240499740702,
매일경제,원자재값 뛰자 원가 압박 … 식품업계 '한숨',"주요 20개 식품사 원가율 분석작년 74.2%로 1년새 1P% ↑""유가상승에 올해 75%넘을듯""작년 영업이익 9%가량 줄어CJ제일제당 등 체질개선 나서비핵심자산 매각·공장 정리도내수 침체 속 글로벌 원자재 가격 상승과 고환율 등이 맞물리며 주요 식품사들의 원가율(매출 대비 원가 비중) 부담이 높아져 경영 부담으로 작용하고 있다. 올해는 중동 정세 불안으로 고유가 상황까지 더해져, 식품사들의 원가율이 1%포인트 이상 높아질 수 있다는 전망도 나온다.9일 매일경제가 금융감독원 전자공시시스템을 통해 지난해 CJ제일제당·롯데웰푸드 등 국내 주요 식품기업 20개사의 매출 원가율을 2024년과 비교한 결과 17개사의 매출 원가율이 전년 대비 상승했다. 원가율을 낮춘 곳은 삼양식품·농심 등 주로 수출과 해외 생산이 높은...",https://n.news.naver.com/article/newspaper/009/0005663712?date=20260410,업계,0.8781946116270628,
조선일보,美공장에 아틀라스 투입… 기아도 로봇 기업 변신 채비,"5년간 49조원 투자 계획기아가 2029년 하반기 미국 조지아주 공장에 보스턴다이내믹스의 휴머노이드 로봇 ‘아틀라스’를 투입하겠다고 9일 밝혔다. 지난 1월 현대차가 2028년 미국 조지아주 메타플랜트(HMGMA)에 아틀라스를 투입한다고 밝힌 데 이어, 기아도 아틀라스 활용 방안을 처음으로 내놓은 것이다. 기아는 또 다목적 차량 ‘PBV(목적 기반 차량)’와 로봇을 연계한 배달 서비스도 내놓겠다고 발표했다. 최종 소비자에게 물품을 배송하는 ‘라스트 마일(Last mile)’ 배달 시장을 개척하겠다는 것이다. 현대차그룹이 생산·물류·서비스 전반으로 로봇 전선을 확대하고 있다는 평가가 나온다.기아도 ‘로봇 기업’으로기아는 9일 서울 중구 신라호텔에서 ‘2026 CEO(최고경영자) 인베스터 데이’를 열고 투자자와...",https://n.news.naver.com/article/newspaper/023/0003969935?date=20260410,경영,0.8071369128739976,
조선일보,출근길 아아 한잔? “전 ‘버섯 커피’ 먹어요”…카페인 멀리하는 Z세대,"[WEEKLY BIZ] 직장인 블라블라#1. 30대 직장인 A씨는 요즘 불면증으로 잠을 설친다. 숙면에 좋다는 차도 마셔봤지만 밤이면 눈이 말똥말똥하다. 그렇다고 피곤하지 않은 건 아니다. 한 친구가 말했다. “너 커피 좀 줄여봐. 그렇게 마시니 당연히 잠이 안 오지.” 그때부터 A씨는 매일 수혈하듯 마시던 커피를 줄였다. 이후 불면증은 조금씩 나아졌다.#2. “여기 아메리카노 7잔이랑 자몽 허니 블랙티 한 잔요!”한 대기업 마케팅팀의 점심시간. 함께 밥을 먹고 카페에 가면 20대 직원 B씨는 늘 ‘차’를 주문한다. 어떨 때는 말차, 어떨 때는 밀크티를 주문할 뿐 커피를 마시지 않는다. 한 번은 궁금해진 부장이 물었다. “커피 싫어해? 요즘 애들은 겨울에도 아이스 아메리카노를 마신다던데.” B씨가 답했다. ...",https://n.news.naver.com/article/newspaper/023/0003969870?date=20260410,경영,0.798394968714559,
한국경제,'화려한 부활' vs '적자의 늪'…30년 만에 판 뒤집힌 이유,"사업 재편이 가른 日 대표산업전자 순이익, 30년 만에 車 추월신사업 올인한 전자…전기차 실패한 車업계소니·히타치 등 쇠퇴길 걷던 전자과감한 M&A·사업 재편 뒤 부활관세 충격에 중국시장 부진까지완성차 7곳, 전년보다 순익 감소지난해 일본 주요 전자 업체의 순이익이 자동차 업체들을 넘어선 것으로 추정된다. 1990년대 중반 이후 30년 만이다. 일본 전자 업체들이 과거의 부진을 딛고 부활하는 사이, 잘나가던 자동차 업체들은 중국 사업 부진에 허덕이며 기세가 역전됐다.◇中시장 부진에 허우적대는 자동차9일 각 업체에 따르면 소니그룹, 히타치제작소, 후지쓰, 미쓰비시전기, NEC, 파나소닉, 샤프 등 7개 전자 업체의 2025회계연도(2025년 4월~2026년 3월) 순이익은 총 3조2280억엔으로 추정됐다. 소...",https://n.news.naver.com/article/newspaper/015/0005273204?date=20260410,경영,0.7561521219382014,
한국경제,"1주일 만에 '90만원' 껑충…""더 오를 수도"" 반도체 공급 '비상'","'칩플레이션 강타'PC 가격, 출시 1주일 만에 더 올라삼성·LG 등 최대 90만원 인상""올해 세계 PC 판매량 9% 감소""메모리 반도체 가격이 급등하면서 개인용 컴퓨터(PC)와 스마트폰 등 정보기술(IT) 기기 가격도 덩달아 뛰고 있다. 업계에서는 ‘칩플레이션’(반도체 인플레이션) 영향이 광범위하게 퍼지고 장기화할 것이라는 관측이 나온다. 반도체 가격 고공행진이 이어진다면 제조사들의 의지와 상관없이 IT 기기 가격이 추가로 상승할 가능성이 크다는 분석이다.9일 업계에 따르면 삼성전자는 지난 7일을 기점으로 PC, 태블릿 등 주요 제품 가격을 인상했다. 노트북인 갤럭시북6 시리즈 출고가는 출시 1주일 만에 사양별로 17만~88만원 올랐다. 최고 사양 모델인 갤럭시북6 울트라 가격은 최대 90만원 뛰어 583...",https://n.news.naver.com/article/newspaper/015/0005273162?date=20260410,기타,0.742275824003729,
중앙일보,"3년 뒤 이런 세상 옵니다…도심엔 기아 자율차, 공장엔 아틀라스","기아가 자율주행과 로봇, 전기차를 중심으로 2030년까지 49조원을 투자한다는 계획을 내놨다. 휴머노이드 로봇 ‘아틀라스’의 미국 공장 실전 배치를 늘리는 한편, 2027년 자율주행차 개발을 완료한다는 계획이다.기아는 9일 서울 중구 신라호텔에서 ‘2026 CEO 인베스터 데이(Investor Day)’를 열고 투자자와 애널리스트 등을 대상으로 중장기 사업 전략을 공개했다. 지난해 세계 시장에서 313만5803대를 판매한 기아는 올해 335만 대, 2030년 413만 대를 목표 판매량으로 제시했다. 송호성 기아 사장은 “불확실성이 확대되는 환경”이라면서도 “전기차, 하이브리드차, 자율주행, 로보틱스와 함께 가장 빠른 속도로 성장할 것”이라고 말했다.미국은 하이브리드, 유럽은 전기차 수요가 많은 가운데 기아는...",https://n.news.naver.com/article/newspaper/025/0003515291?date=20260410,경영,0.7289196854916171,
조선일보,속 불투명한 바이오주… 애널리스트 한마디에 급등락,"삼천당제약 등 널뛰기 잦아알테오젠, 삼천당제약 등 코스닥 시가총액 최상위권에 있는 바이오 대장주들이 증권사의 분석 한마디에 크게 휘청이고 있다. 실적보다 신약 개발 등 미래 기대감이 주가에 선반영되는 특성상, 일반 투자자는 복잡한 신약 기술이나 계약 내용을 제대로 알기 어렵다. 이 때문에 증권사의 분석이나 말 한마디에 크게 의존하는 경우가 많다. 긍정적 리포트에 급등했던 주가가 다른 증권사의 보수적인 코멘트 하나에 하한가로 추락하면서 소송전까지 벌어지고 있다.호평에 급등하다 코멘트 한 줄에 하한가 직행9일 한국거래소 등에 따르면, 삼천당제약의 주가는 올해 들어 극심한 롤러코스터 장세를 보였다. 이 업체는 국내 일회용 점안제 생산 1위 제약사로, 최근 바이오시밀러(바이오 의약품 복제약)와 먹는(경구용) 인슐린...",https://n.news.naver.com/article/newspaper/023/0003969950?date=20260410,업계,0.668649441037165,
